team,market_value_eur
England,1620000000
France,1360000000
Spain,1310000000
Portugal,864500000
Brazil,778500000
Germany,773500000
Netherlands,766000000
Argentina,761200000
Belgium,534200000
Turkiye,504200000
Norway,504000000
Senegal,474000000
Morocco,456000000
Sweden,431380000
Ivory Coast,425900000
Ecuador,366730000
Uruguay,362450000
United States,356700000
Switzerland,322100000
Colombia,300500000
Croatia,283300000
Japan,264200000
Austria,263400000
Algeria,227750000
Ghana,220780000
Scotland,198150000
Czechia,176800000
Democratic Republic of the Congo,153400000
South Korea,136750000
Paraguay,134700000
Bosnia-Herzegovina,130900000
Canada,129580000
Egypt,108000000
Mexico,79800000
Uzbekistan,79280000
Haiti,55350000
Tunisia,52300000
Australia,51430000
Cape Verde,44850000
South Africa,41150000
Panama,32400000
New Zealand,30550000
Curacao,28680000
Saudi Arabia,27630000
Iran,23080000
Iraq,18680000
Qatar,18300000
Jordan,15980000
