match_id,match_date,kick_off,competition_id,competition_name,season_id,season_name,competition_stage,match_week,team,opponent,is_home,team_score,opponent_score,goal_difference,result,points,events,possessions,passes,completed_passes,progressive_passes,final_third_entries,box_entries,crosses,completed_crosses,through_balls,switches,key_passes,assists,carries,progressive_carries,shots,shots_on_target,penalty_shots,goals_from_shots,own_goals_for,own_goals_against,xg,non_penalty_xg,open_play_xg,set_piece_xg,penalty_xg,free_kick_xg,headers,pressures,counterpressures,ball_recoveries,interceptions,clearances,blocks,duels,duels_won,dribbles,successful_dribbles,fouls_committed,fouls_won,miscontrols,dispossessed,goalkeeper_events,substitutions,opponent_events,opponent_possessions,opponent_passes,opponent_completed_passes,opponent_progressive_passes,opponent_final_third_entries,opponent_box_entries,opponent_crosses,opponent_completed_crosses,opponent_through_balls,opponent_switches,opponent_key_passes,opponent_assists,opponent_carries,opponent_progressive_carries,opponent_shots,opponent_shots_on_target,opponent_penalty_shots,opponent_goals_from_shots,opponent_own_goals_for,opponent_own_goals_against,opponent_xg,opponent_non_penalty_xg,opponent_open_play_xg,opponent_set_piece_xg,opponent_penalty_xg,opponent_free_kick_xg,opponent_headers,opponent_pressures,opponent_counterpressures,opponent_ball_recoveries,opponent_interceptions,opponent_clearances,opponent_blocks,opponent_duels,opponent_duels_won,opponent_dribbles,opponent_successful_dribbles,opponent_fouls_committed,opponent_fouls_won,opponent_miscontrols,opponent_dispossessed,opponent_goalkeeper_events,opponent_substitutions,pass_completion_rate,cross_completion_rate,shots_on_target_rate,xg_per_shot,non_penalty_xg_per_shot,dribble_success_rate,duel_win_rate,xg_difference,non_penalty_xg_difference,shot_difference,pressure_difference,final_third_entry_difference,box_entry_difference
7525,2018-06-14,15:00:00.000,43,FIFA World Cup,3,2018,Group Stage,1,Russia,Saudi Arabia,True,5,0,5,win,3,1374.0,90.0,388.0,272.0,84.0,42.0,16.0,8.0,2.0,0.0,11.0,8.0,4.0,269.0,20.0,14.0,7.0,0.0,5.0,0.0,0.0,1.2816009420000003,1.2816009420000003,0.28704286600000006,0.994558076,0.0,0.0744545,4.0,147.0,44.0,52.0,4.0,9.0,16.0,26.0,13.0,12.0,7.0,23.0,12.0,11.0,19.0,6.0,3.0,1944.0,104.0,572.0,458.0,90.0,46.0,4.0,6.0,1.0,0.0,27.0,4.0,0.0,440.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.24880649999999999,0.24880649999999999,0.025765538,0.22304096199999998,0.0,0.0,1.0,121.0,51.0,49.0,7.0,16.0,22.0,43.0,13.0,11.0,4.0,12.0,23.0,15.0,13.0,16.0,3.0,0.7010309278350515,0.25,0.5,0.09154292442857145,0.09154292442857145,0.5833333333333334,0.5,1.0327944420000004,1.0327944420000004,8.0,26.0,-4.0,12.0
7525,2018-06-14,15:00:00.000,43,FIFA World Cup,3,2018,Group Stage,1,Saudi Arabia,Russia,False,0,5,-5,loss,0,1944.0,104.0,572.0,458.0,90.0,46.0,4.0,6.0,1.0,0.0,27.0,4.0,0.0,440.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.24880649999999999,0.24880649999999999,0.025765538,0.22304096199999998,0.0,0.0,1.0,121.0,51.0,49.0,7.0,16.0,22.0,43.0,13.0,11.0,4.0,12.0,23.0,15.0,13.0,16.0,3.0,1374.0,90.0,388.0,272.0,84.0,42.0,16.0,8.0,2.0,0.0,11.0,8.0,4.0,269.0,20.0,14.0,7.0,0.0,5.0,0.0,0.0,1.2816009420000003,1.2816009420000003,0.28704286600000006,0.994558076,0.0,0.0744545,4.0,147.0,44.0,52.0,4.0,9.0,16.0,26.0,13.0,12.0,7.0,23.0,12.0,11.0,19.0,6.0,3.0,0.8006993006993007,0.16666666666666666,0.0,0.04146775,0.04146775,0.36363636363636365,0.3023255813953488,-1.0327944420000004,-1.0327944420000004,-8.0,-26.0,4.0,-12.0
7576,2018-06-15,18:00:00.000,43,FIFA World Cup,3,2018,Group Stage,1,Portugal,Spain,True,3,3,0,draw,1,1525.0,78.0,388.0,318.0,66.0,41.0,8.0,8.0,3.0,0.0,16.0,5.0,0.0,298.0,13.0,10.0,3.0,1.0,3.0,0.0,0.0,1.4345957889999998,0.651095789,0.044690037,0.6064057519999999,0.7835,0.095791321,2.0,267.0,35.0,32.0,6.0,8.0,8.0,15.0,4.0,13.0,7.0,13.0,11.0,11.0,8.0,14.0,3.0,2628.0,72.0,780.0,714.0,57.0,74.0,6.0,11.0,6.0,1.0,20.0,7.0,1.0,665.0,20.0,12.0,5.0,0.0,3.0,0.0,0.0,1.6609466705,1.6609466705,0.5456990965,1.115247574,0.0,0.05749292,1.0,215.0,50.0,23.0,12.0,8.0,12.0,21.0,7.0,23.0,17.0,11.0,12.0,11.0,5.0,10.0,3.0,0.8195876288659794,0.375,0.3,0.1434595789,0.07234397655555555,0.5384615384615384,0.26666666666666666,-0.22635088150000016,-1.0098508815,-2.0,52.0,-33.0,2.0
7576,2018-06-15,18:00:00.000,43,FIFA World Cup,3,2018,Group Stage,1,Spain,Portugal,False,3,3,0,draw,1,2628.0,72.0,780.0,714.0,57.0,74.0,6.0,11.0,6.0,1.0,20.0,7.0,1.0,665.0,20.0,12.0,5.0,0.0,3.0,0.0,0.0,1.6609466705,1.6609466705,0.5456990965,1.115247574,0.0,0.05749292,1.0,215.0,50.0,23.0,12.0,8.0,12.0,21.0,7.0,23.0,17.0,11.0,12.0,11.0,5.0,10.0,3.0,1525.0,78.0,388.0,318.0,66.0,41.0,8.0,8.0,3.0,0.0,16.0,5.0,0.0,298.0,13.0,10.0,3.0,1.0,3.0,0.0,0.0,1.4345957889999998,0.651095789,0.044690037,0.6064057519999999,0.7835,0.095791321,2.0,267.0,35.0,32.0,6.0,8.0,8.0,15.0,4.0,13.0,7.0,13.0,11.0,11.0,8.0,14.0,3.0,0.9153846153846154,0.5454545454545454,0.4166666666666667,0.13841222254166666,0.13841222254166666,0.7391304347826086,0.3333333333333333,0.22635088150000016,1.0098508815,2.0,-52.0,33.0,-2.0
7577,2018-06-15,15:00:00.000,43,FIFA World Cup,3,2018,Group Stage,1,Iran,Morocco,False,1,0,1,win,3,1129.0,86.0,267.0,144.0,85.0,18.0,2.0,6.0,0.0,1.0,11.0,2.0,0.0,177.0,8.0,8.0,2.0,0.0,0.0,1.0,0.0,0.6975558777,0.6975558777,0.36049155,0.33706432770000005,0.0,0.0150405117,0.0,208.0,60.0,50.0,9.0,12.0,9.0,31.0,11.0,10.0,6.0,16.0,21.0,7.0,6.0,17.0,3.0,1746.0,88.0,492.0,397.0,71.0,43.0,8.0,13.0,4.0,1.0,22.0,10.0,0.0,390.0,22.0,14.0,3.0,0.0,0.0,0.0,1.0,1.0591950264999999,1.0591950264999999,0.200099411,0.8590956155,0.0,0.0,2.0,149.0,64.0,37.0,9.0,14.0,18.0,18.0,5.0,29.0,15.0,22.0,16.0,12.0,8.0,9.0,3.0,0.5393258426966292,0.0,0.25,0.0871944847125,0.0871944847125,0.6,0.3548387096774194,-0.3616391487999998,-0.3616391487999998,-6.0,59.0,-25.0,-6.0
7577,2018-06-15,15:00:00.000,43,FIFA World Cup,3,2018,Group Stage,1,Morocco,Iran,True,0,1,-1,loss,0,1746.0,88.0,492.0,397.0,71.0,43.0,8.0,13.0,4.0,1.0,22.0,10.0,0.0,390.0,22.0,14.0,3.0,0.0,0.0,0.0,1.0,1.0591950264999999,1.0591950264999999,0.200099411,0.8590956155,0.0,0.0,2.0,149.0,64.0,37.0,9.0,14.0,18.0,18.0,5.0,29.0,15.0,22.0,16.0,12.0,8.0,9.0,3.0,1129.0,86.0,267.0,144.0,85.0,18.0,2.0,6.0,0.0,1.0,11.0,2.0,0.0,177.0,8.0,8.0,2.0,0.0,0.0,1.0,0.0,0.6975558777,0.6975558777,0.36049155,0.33706432770000005,0.0,0.0150405117,0.0,208.0,60.0,50.0,9.0,12.0,9.0,31.0,11.0,10.0,6.0,16.0,21.0,7.0,6.0,17.0,3.0,0.806910569105691,0.3076923076923077,0.21428571428571427,0.07565678760714285,0.07565678760714285,0.5172413793103449,0.2777777777777778,0.3616391487999998,0.3616391487999998,6.0,-59.0,25.0,6.0
7578,2018-06-15,12:00:00.000,43,FIFA World Cup,3,2018,Group Stage,1,Egypt,Uruguay,True,0,1,-1,loss,0,1649.0,85.0,469.0,344.0,94.0,41.0,8.0,10.0,2.0,0.0,5.0,2.0,0.0,337.0,22.0,8.0,3.0,0.0,0.0,0.0,0.0,0.364488455,0.364488455,0.180739881,0.183748574,0.0,0.0,0.0,166.0,55.0,41.0,16.0,13.0,17.0,47.0,20.0,9.0,4.0,16.0,6.0,8.0,10.0,23.0,3.0,2109.0,97.0,623.0,513.0,72.0,72.0,11.0,13.0,3.0,0.0,15.0,10.0,1.0,490.0,34.0,16.0,4.0,0.0,1.0,0.0,0.0,1.9408185929999995,1.9408185929999995,0.36128328900000006,1.5795353039999998,0.0,0.038728697,4.0,119.0,51.0,61.0,21.0,9.0,20.0,23.0,10.0,15.0,5.0,7.0,16.0,12.0,18.0,10.0,3.0,0.7334754797441365,0.2,0.375,0.045561056875,0.045561056875,0.4444444444444444,0.425531914893617,-1.5763301379999994,-1.5763301379999994,-8.0,47.0,-31.0,-3.0
7578,2018-06-15,12:00:00.000,43,FIFA World Cup,3,2018,Group Stage,1,Uruguay,Egypt,False,1,0,1,win,3,2109.0,97.0,623.0,513.0,72.0,72.0,11.0,13.0,3.0,0.0,15.0,10.0,1.0,490.0,34.0,16.0,4.0,0.0,1.0,0.0,0.0,1.9408185929999995,1.9408185929999995,0.36128328900000006,1.5795353039999998,0.0,0.038728697,4.0,119.0,51.0,61.0,21.0,9.0,20.0,23.0,10.0,15.0,5.0,7.0,16.0,12.0,18.0,10.0,3.0,1649.0,85.0,469.0,344.0,94.0,41.0,8.0,10.0,2.0,0.0,5.0,2.0,0.0,337.0,22.0,8.0,3.0,0.0,0.0,0.0,0.0,0.364488455,0.364488455,0.180739881,0.183748574,0.0,0.0,0.0,166.0,55.0,41.0,16.0,13.0,17.0,47.0,20.0,9.0,4.0,16.0,6.0,8.0,10.0,23.0,3.0,0.8234349919743178,0.23076923076923078,0.25,0.12130116206249997,0.12130116206249997,0.3333333333333333,0.43478260869565216,1.5763301379999994,1.5763301379999994,8.0,-47.0,31.0,3.0
7529,2018-06-16,19:00:00.000,43,FIFA World Cup,3,2018,Group Stage,1,Croatia,Nigeria,True,2,0,2,win,3,1790.0,88.0,503.0,389.0,89.0,43.0,7.0,16.0,3.0,1.0,14.0,9.0,0.0,399.0,18.0,11.0,2.0,1.0,1.0,1.0,0.0,1.6944666339999996,0.9109666339999999,0.09550381499999999,0.8154628189999998,0.7835,0.0,4.0,160.0,53.0,34.0,14.0,22.0,14.0,24.0,8.0,10.0,7.0,21.0,12.0,11.0,6.0,15.0,3.0,1530.0,88.0,425.0,319.0,89.0,35.0,10.0,10.0,3.0,0.0,10.0,10.0,0.0,317.0,9.0,13.0,2.0,0.0,0.0,0.0,1.0,0.7623215977000002,0.7623215977000002,0.46468319199999997,0.29763840569999994,0.0,0.0,2.0,152.0,43.0,47.0,6.0,16.0,15.0,23.0,4.0,16.0,12.0,15.0,20.0,11.0,10.0,14.0,3.0,0.7733598409542743,0.1875,0.18181818181818182,0.15404242127272724,0.09109666339999999,0.7,0.3333333333333333,0.9321450362999995,0.1486450362999997,-2.0,8.0,8.0,-3.0
7529,2018-06-16,19:00:00.000,43,FIFA World Cup,3,2018,Group Stage,1,Nigeria,Croatia,False,0,2,-2,loss,0,1530.0,88.0,425.0,319.0,89.0,35.0,10.0,10.0,3.0,0.0,10.0,10.0,0.0,317.0,9.0,13.0,2.0,0.0,0.0,0.0,1.0,0.7623215977000002,0.7623215977000002,0.46468319199999997,0.29763840569999994,0.0,0.0,2.0,152.0,43.0,47.0,6.0,16.0,15.0,23.0,4.0,16.0,12.0,15.0,20.0,11.0,10.0,14.0,3.0,1790.0,88.0,503.0,389.0,89.0,43.0,7.0,16.0,3.0,1.0,14.0,9.0,0.0,399.0,18.0,11.0,2.0,1.0,1.0,1.0,0.0,1.6944666339999996,0.9109666339999999,0.09550381499999999,0.8154628189999998,0.7835,0.0,4.0,160.0,53.0,34.0,14.0,22.0,14.0,24.0,8.0,10.0,7.0,21.0,12.0,11.0,6.0,15.0,3.0,0.7505882352941177,0.3,0.15384615384615385,0.058640122900000015,0.058640122900000015,0.75,0.17391304347826086,-0.9321450362999995,-0.1486450362999997,2.0,-8.0,-8.0,3.0
