team,round_of_32_prob,round_of_16_prob,quarterfinal_prob,semifinal_prob,final_prob,champion_prob
Portugal,0.683,0.345,0.16,0.086,0.052,0.032
South Korea,0.665,0.35,0.169,0.104,0.051,0.032
Switzerland,0.689,0.337,0.19,0.102,0.049,0.03
Iran,0.703,0.35,0.182,0.092,0.05,0.03
Argentina,0.688,0.344,0.194,0.093,0.051,0.029
Netherlands,0.657,0.341,0.169,0.097,0.049,0.028
Germany,0.679,0.335,0.173,0.089,0.051,0.028
Qatar,0.647,0.31,0.169,0.082,0.051,0.028
Egypt,0.687,0.351,0.175,0.089,0.052,0.027
Canada,0.673,0.352,0.16,0.084,0.043,0.025
Bosnia and Herzegovina,0.67,0.354,0.173,0.101,0.05,0.025
Saudi Arabia,0.644,0.335,0.179,0.082,0.05,0.024
Jordan,0.676,0.347,0.172,0.09,0.048,0.023
Mexico,0.689,0.354,0.186,0.092,0.045,0.023
Belgium,0.673,0.311,0.153,0.08,0.039,0.022
Algeria,0.663,0.35,0.176,0.087,0.042,0.022
Ghana,0.665,0.326,0.16,0.081,0.044,0.022
Japan,0.665,0.342,0.165,0.087,0.04,0.022
Spain,0.698,0.353,0.159,0.082,0.039,0.022
United States,0.683,0.35,0.186,0.093,0.044,0.022
Uruguay,0.645,0.324,0.176,0.081,0.039,0.021
Sweden,0.664,0.337,0.174,0.085,0.037,0.021
Paraguay,0.661,0.33,0.159,0.075,0.043,0.021
New Zealand,0.619,0.286,0.14,0.084,0.037,0.021
Senegal,0.631,0.306,0.151,0.073,0.038,0.02
Brazil,0.671,0.317,0.145,0.084,0.045,0.02
South Africa,0.675,0.338,0.166,0.077,0.036,0.02
Cape Verde,0.673,0.322,0.167,0.087,0.041,0.019
France,0.687,0.37,0.181,0.087,0.047,0.019
Croatia,0.684,0.346,0.179,0.081,0.044,0.019
Czech Republic,0.659,0.336,0.161,0.073,0.036,0.018
Scotland,0.677,0.311,0.155,0.067,0.037,0.018
Uzbekistan,0.647,0.289,0.147,0.077,0.035,0.018
Iraq,0.679,0.356,0.16,0.075,0.032,0.018
Panama,0.653,0.345,0.171,0.093,0.044,0.018
Morocco,0.655,0.324,0.16,0.087,0.041,0.017
Tunisia,0.67,0.336,0.176,0.076,0.039,0.017
Austria,0.647,0.306,0.139,0.069,0.041,0.017
Australia,0.668,0.339,0.163,0.067,0.029,0.015
DR Congo,0.65,0.317,0.149,0.078,0.032,0.015
Curaçao,0.653,0.323,0.152,0.081,0.038,0.015
Ecuador,0.65,0.327,0.167,0.078,0.035,0.015
Ivory Coast,0.689,0.333,0.175,0.083,0.044,0.015
Colombia,0.659,0.321,0.163,0.077,0.036,0.014
Norway,0.669,0.336,0.178,0.084,0.034,0.014
Haiti,0.655,0.325,0.161,0.074,0.029,0.014
England,0.649,0.336,0.17,0.084,0.039,0.014
Turkey,0.664,0.327,0.165,0.07,0.032,0.011
