team,round_of_32_prob,round_of_16_prob,quarterfinal_prob,semifinal_prob,final_prob,champion_prob
Spain,0.943,0.6,0.392,0.275,0.189,0.132
France,0.916,0.609,0.401,0.26,0.157,0.09
Argentina,0.924,0.554,0.362,0.218,0.141,0.074
Colombia,0.89,0.524,0.298,0.182,0.105,0.062
England,0.903,0.526,0.305,0.17,0.098,0.049
Portugal,0.891,0.538,0.294,0.167,0.093,0.047
Ecuador,0.924,0.561,0.284,0.158,0.088,0.045
Brazil,0.917,0.543,0.305,0.185,0.093,0.045
Germany,0.922,0.538,0.294,0.166,0.076,0.04
Croatia,0.864,0.487,0.272,0.156,0.075,0.037
Switzerland,0.883,0.525,0.282,0.142,0.077,0.037
Netherlands,0.859,0.483,0.285,0.161,0.08,0.035
Uruguay,0.876,0.459,0.257,0.14,0.066,0.033
Mexico,0.836,0.465,0.251,0.122,0.06,0.026
Japan,0.789,0.424,0.241,0.117,0.048,0.024
Belgium,0.906,0.509,0.225,0.094,0.045,0.022
Paraguay,0.722,0.394,0.178,0.078,0.037,0.021
Turkey,0.771,0.456,0.236,0.106,0.052,0.019
Canada,0.842,0.447,0.209,0.096,0.047,0.018
Norway,0.775,0.388,0.208,0.092,0.042,0.015
Austria,0.726,0.322,0.158,0.076,0.031,0.013
United States,0.636,0.344,0.149,0.064,0.027,0.012
Morocco,0.788,0.381,0.164,0.078,0.026,0.012
Senegal,0.631,0.317,0.139,0.055,0.025,0.01
Scotland,0.787,0.344,0.146,0.065,0.03,0.009
South Korea,0.773,0.382,0.17,0.061,0.017,0.008
Panama,0.608,0.262,0.119,0.039,0.016,0.008
Iran,0.744,0.3,0.128,0.05,0.022,0.007
Czech Republic,0.684,0.313,0.116,0.046,0.023,0.007
Tunisia,0.428,0.153,0.064,0.025,0.009,0.006
Egypt,0.667,0.249,0.083,0.025,0.008,0.005
Saudi Arabia,0.46,0.17,0.067,0.014,0.007,0.005
Sweden,0.594,0.245,0.092,0.037,0.014,0.005
Jordan,0.465,0.169,0.069,0.026,0.009,0.004
Australia,0.535,0.249,0.104,0.043,0.013,0.003
New Zealand,0.358,0.112,0.049,0.016,0.005,0.002
Algeria,0.53,0.192,0.076,0.029,0.005,0.002
Uzbekistan,0.483,0.179,0.065,0.02,0.006,0.002
Cape Verde,0.321,0.11,0.039,0.008,0.003,0.001
Bosnia and Herzegovina,0.55,0.191,0.062,0.021,0.007,0.001
Ghana,0.312,0.104,0.042,0.019,0.006,0.001
Curaçao,0.203,0.059,0.021,0.004,0.001,0.001
Iraq,0.338,0.127,0.047,0.014,0.003,0.001
Ivory Coast,0.641,0.255,0.102,0.029,0.005,0.001
South Africa,0.404,0.137,0.043,0.013,0.003,0.001
Haiti,0.238,0.071,0.023,0.009,0.003,0.001
Qatar,0.377,0.125,0.048,0.021,0.004,0.001
DR Congo,0.366,0.108,0.036,0.008,0.003,0.0
