team,round_of_32_prob,round_of_16_prob,quarterfinal_prob,semifinal_prob,final_prob,champion_prob
France,0.997,0.828,0.648,0.525,0.341,0.216
Spain,0.999,0.804,0.591,0.472,0.316,0.214
Argentina,0.996,0.674,0.539,0.387,0.271,0.156
England,0.993,0.738,0.517,0.314,0.159,0.072
Portugal,0.991,0.728,0.463,0.266,0.142,0.061
Brazil,0.995,0.694,0.446,0.269,0.138,0.06
Colombia,0.977,0.669,0.379,0.19,0.093,0.037
Netherlands,0.962,0.581,0.408,0.188,0.077,0.034
Germany,0.987,0.684,0.298,0.18,0.073,0.031
Croatia,0.963,0.521,0.279,0.13,0.048,0.021
Belgium,0.992,0.688,0.389,0.122,0.054,0.018
Uruguay,0.983,0.384,0.215,0.103,0.05,0.017
Ecuador,0.967,0.635,0.26,0.131,0.046,0.015
Turkey,0.91,0.635,0.308,0.102,0.035,0.011
Switzerland,0.987,0.727,0.31,0.114,0.036,0.009
Norway,0.897,0.461,0.212,0.082,0.029,0.009
Japan,0.904,0.434,0.228,0.079,0.015,0.003
Scotland,0.849,0.289,0.115,0.032,0.009,0.003
Paraguay,0.791,0.435,0.155,0.042,0.012,0.003
Austria,0.843,0.212,0.095,0.027,0.01,0.002
Mexico,0.949,0.48,0.16,0.042,0.007,0.002
Senegal,0.776,0.336,0.129,0.042,0.009,0.002
United States,0.757,0.414,0.122,0.023,0.006,0.002
Morocco,0.91,0.314,0.148,0.04,0.006,0.001
Canada,0.948,0.516,0.15,0.028,0.006,0.001
DR Congo,0.21,0.025,0.0,0.0,0.0,0.0
Czech Republic,0.837,0.299,0.062,0.012,0.001,0.0
Curaçao,0.021,0.001,0.0,0.0,0.0,0.0
Cape Verde,0.172,0.017,0.002,0.0,0.0,0.0
Algeria,0.55,0.101,0.029,0.006,0.001,0.0
Australia,0.295,0.088,0.013,0.002,0.0,0.0
Bosnia and Herzegovina,0.586,0.118,0.018,0.0,0.0,0.0
Egypt,0.761,0.181,0.019,0.002,0.0,0.0
New Zealand,0.126,0.011,0.001,0.0,0.0,0.0
Jordan,0.196,0.023,0.006,0.0,0.0,0.0
Ghana,0.131,0.016,0.003,0.001,0.0,0.0
Haiti,0.033,0.002,0.001,0.0,0.0,0.0
Iran,0.81,0.212,0.024,0.001,0.0,0.0
Iraq,0.072,0.009,0.001,0.0,0.0,0.0
Ivory Coast,0.731,0.213,0.033,0.003,0.0,0.0
Panama,0.508,0.07,0.015,0.004,0.0,0.0
South Africa,0.126,0.012,0.003,0.0,0.0,0.0
Qatar,0.14,0.013,0.003,0.0,0.0,0.0
Saudi Arabia,0.337,0.048,0.004,0.0,0.0,0.0
South Korea,0.887,0.359,0.101,0.019,0.005,0.0
Sweden,0.655,0.221,0.087,0.02,0.005,0.0
Tunisia,0.181,0.03,0.003,0.0,0.0,0.0
Uzbekistan,0.312,0.05,0.008,0.0,0.0,0.0
