team,round_of_32_prob,round_of_16_prob,quarterfinal_prob,semifinal_prob,final_prob,champion_prob
France,0.829,0.498,0.305,0.207,0.127,0.064
Argentina,0.823,0.47,0.283,0.161,0.096,0.061
Spain,0.82,0.478,0.29,0.182,0.102,0.054
England,0.8,0.467,0.245,0.137,0.079,0.049
Brazil,0.815,0.48,0.264,0.152,0.073,0.044
Portugal,0.78,0.395,0.216,0.121,0.07,0.041
Ecuador,0.863,0.495,0.283,0.152,0.072,0.04
Colombia,0.791,0.411,0.25,0.14,0.082,0.04
Uruguay,0.751,0.41,0.224,0.122,0.068,0.038
Paraguay,0.721,0.379,0.207,0.11,0.065,0.037
Turkey,0.737,0.384,0.198,0.098,0.059,0.032
Germany,0.785,0.452,0.232,0.129,0.062,0.03
Norway,0.667,0.321,0.177,0.091,0.051,0.03
Japan,0.761,0.396,0.233,0.121,0.057,0.028
Switzerland,0.821,0.461,0.237,0.126,0.044,0.027
Mexico,0.776,0.429,0.227,0.109,0.065,0.026
Croatia,0.762,0.447,0.232,0.117,0.062,0.025
Belgium,0.813,0.427,0.224,0.125,0.059,0.025
Netherlands,0.763,0.398,0.219,0.106,0.047,0.024
Scotland,0.719,0.367,0.187,0.09,0.044,0.024
Morocco,0.712,0.348,0.175,0.084,0.043,0.021
Austria,0.71,0.37,0.193,0.104,0.041,0.02
Panama,0.637,0.306,0.15,0.062,0.038,0.017
United States,0.658,0.329,0.161,0.076,0.031,0.016
South Korea,0.744,0.364,0.162,0.07,0.039,0.014
Canada,0.74,0.394,0.193,0.093,0.035,0.013
Senegal,0.651,0.337,0.153,0.072,0.037,0.013
Australia,0.562,0.284,0.138,0.06,0.025,0.013
Czech Republic,0.669,0.314,0.141,0.068,0.036,0.012
Bosnia and Herzegovina,0.609,0.246,0.089,0.048,0.022,0.011
Algeria,0.598,0.288,0.13,0.06,0.024,0.011
Tunisia,0.546,0.23,0.093,0.044,0.025,0.011
Ivory Coast,0.657,0.307,0.134,0.058,0.026,0.011
Iran,0.701,0.322,0.15,0.071,0.028,0.01
Sweden,0.579,0.275,0.133,0.055,0.024,0.01
Jordan,0.557,0.256,0.113,0.048,0.019,0.009
Iraq,0.486,0.22,0.088,0.035,0.012,0.008
Uzbekistan,0.571,0.257,0.104,0.034,0.017,0.007
Egypt,0.649,0.285,0.123,0.046,0.015,0.006
DR Congo,0.529,0.215,0.082,0.032,0.012,0.004
Qatar,0.499,0.19,0.077,0.027,0.011,0.004
Saudi Arabia,0.581,0.248,0.103,0.033,0.011,0.004
Ghana,0.475,0.194,0.079,0.022,0.008,0.004
South Africa,0.464,0.196,0.07,0.024,0.01,0.004
New Zealand,0.503,0.194,0.061,0.02,0.008,0.003
Cape Verde,0.521,0.192,0.076,0.027,0.009,0.003
Curaçao,0.342,0.111,0.041,0.013,0.005,0.002
Haiti,0.453,0.163,0.055,0.018,0.005,0.0
