team,round_of_32_prob,round_of_16_prob,quarterfinal_prob,semifinal_prob,final_prob,champion_prob
Spain,1.0,0.817,0.615,0.494,0.343,0.238
France,0.996,0.828,0.66,0.522,0.339,0.222
Argentina,0.996,0.647,0.535,0.393,0.254,0.132
England,0.993,0.745,0.526,0.333,0.16,0.073
Portugal,0.985,0.728,0.479,0.258,0.142,0.064
Brazil,0.979,0.645,0.408,0.222,0.111,0.042
Colombia,0.971,0.647,0.395,0.198,0.089,0.036
Germany,0.98,0.701,0.312,0.165,0.071,0.036
Netherlands,0.954,0.609,0.394,0.175,0.071,0.036
Uruguay,0.968,0.412,0.238,0.117,0.06,0.02
Ecuador,0.964,0.624,0.265,0.14,0.049,0.019
Turkey,0.885,0.602,0.302,0.118,0.042,0.015
Croatia,0.946,0.542,0.271,0.13,0.047,0.014
Belgium,0.991,0.695,0.353,0.112,0.044,0.012
Switzerland,0.977,0.716,0.289,0.089,0.036,0.01
Norway,0.87,0.467,0.244,0.097,0.029,0.009
Japan,0.884,0.437,0.247,0.083,0.028,0.005
Morocco,0.871,0.312,0.128,0.039,0.009,0.003
United States,0.735,0.4,0.135,0.03,0.005,0.002
Austria,0.826,0.222,0.083,0.026,0.009,0.002
Paraguay,0.787,0.472,0.163,0.05,0.014,0.002
Senegal,0.716,0.319,0.12,0.032,0.008,0.002
Ivory Coast,0.734,0.239,0.054,0.007,0.003,0.002
Scotland,0.837,0.264,0.104,0.03,0.001,0.001
Canada,0.921,0.526,0.153,0.036,0.011,0.001
South Korea,0.852,0.339,0.084,0.019,0.001,0.001
Mexico,0.923,0.478,0.154,0.043,0.011,0.001
Curaçao,0.02,0.001,0.0,0.0,0.0,0.0
Cape Verde,0.223,0.022,0.001,0.001,0.001,0.0
Algeria,0.543,0.092,0.024,0.005,0.002,0.0
Australia,0.316,0.1,0.019,0.002,0.0,0.0
Bosnia and Herzegovina,0.584,0.119,0.019,0.001,0.001,0.0
Egypt,0.716,0.169,0.022,0.002,0.0,0.0
DR Congo,0.256,0.029,0.003,0.0,0.0,0.0
Czech Republic,0.82,0.276,0.054,0.011,0.004,0.0
Jordan,0.254,0.031,0.004,0.0,0.0,0.0
Ghana,0.154,0.012,0.002,0.0,0.0,0.0
Haiti,0.033,0.002,0.0,0.0,0.0,0.0
Iran,0.799,0.214,0.036,0.002,0.0,0.0
Iraq,0.098,0.016,0.001,0.0,0.0,0.0
Panama,0.526,0.076,0.016,0.003,0.003,0.0
New Zealand,0.16,0.013,0.001,0.0,0.0,0.0
Qatar,0.193,0.015,0.0,0.0,0.0,0.0
Saudi Arabia,0.368,0.045,0.001,0.0,0.0,0.0
South Africa,0.149,0.021,0.005,0.001,0.0,0.0
Sweden,0.663,0.23,0.068,0.012,0.002,0.0
Tunisia,0.203,0.039,0.004,0.001,0.0,0.0
Uzbekistan,0.381,0.045,0.009,0.001,0.0,0.0
