model_key,model,node_id,bracket_index,round,round_label,match_id,kickoff_utc,local_date,status,stage,team_a,team_b,team_a_advancement_prob,team_b_advancement_prob,predicted_winner,confidence,actual_winner,actual_probability,log_loss,weighted_log_loss,points_available,points_earned,possible_points_remaining,evaluated,correct
elo,Elo Model,R32_01,0,round_of_32,Round of 32,537415,2026-06-29T20:30:00Z,2026-06-29,IN_PLAY,LAST_32,Germany,Paraguay,0.5402535249140623,0.4597464750859377,Germany,0.5402535249140623,,,,0.0,1,-0.0,1,False,False
elo,Elo Model,R32_02,1,round_of_32,Round of 32,537416,2026-06-30T21:00:00Z,2026-06-30,TIMED,LAST_32,France,Sweden,0.8835412057577006,0.11645879424229949,France,0.8835412057577006,,,,0.0,1,-0.0,1,False,False
elo,Elo Model,R32_03,2,round_of_32,Round of 32,537417,2026-06-28T19:00:00Z,2026-06-28,FINISHED,LAST_32,South Africa,Canada,0.22598546723069288,0.7740145327693072,Canada,0.7740145327693072,Canada,0.7740145327693072,0.2561646293809449,0.2561646293809449,1,-0.2561646293809449,0,True,True
elo,Elo Model,R32_04,3,round_of_32,Round of 32,537418,2026-06-30T01:00:00Z,2026-06-29,TIMED,LAST_32,Netherlands,Morocco,0.6581307463721469,0.34186925362785325,Netherlands,0.6581307463721469,,,,0.0,1,-0.0,1,False,False
elo,Elo Model,R32_05,4,round_of_32,Round of 32,537419,2026-07-02T23:00:00Z,2026-07-02,TIMED,LAST_32,Portugal,Croatia,0.5706313327765472,0.42936866722345285,Portugal,0.5706313327765472,,,,0.0,1,-0.0,1,False,False
elo,Elo Model,R32_06,5,round_of_32,Round of 32,537420,2026-07-02T19:00:00Z,2026-07-02,TIMED,LAST_32,Spain,Austria,0.8551719035556603,0.14482809644433978,Spain,0.8551719035556603,,,,0.0,1,-0.0,1,False,False
elo,Elo Model,R32_07,6,round_of_32,Round of 32,537421,2026-07-02T00:00:00Z,2026-07-01,TIMED,LAST_32,United States,Bosnia-Herzegovina,0.935221965507488,0.06477803449251203,United States,0.935221965507488,,,,0.0,1,-0.0,1,False,False
elo,Elo Model,R32_08,7,round_of_32,Round of 32,537422,2026-07-01T20:00:00Z,2026-07-01,TIMED,LAST_32,Belgium,Senegal,0.5698127174997811,0.4301872825002188,Belgium,0.5698127174997811,,,,0.0,1,-0.0,1,False,False
elo,Elo Model,R32_09,8,round_of_32,Round of 32,537423,2026-06-29T17:00:00Z,2026-06-29,FINISHED,LAST_32,Brazil,Japan,0.6954202538342087,0.3045797461657913,Brazil,0.6954202538342087,Brazil,0.6954202538342087,0.36323893438786486,0.36323893438786486,1,-0.36323893438786486,0,True,True
elo,Elo Model,R32_10,9,round_of_32,Round of 32,537424,2026-06-30T17:00:00Z,2026-06-30,TIMED,LAST_32,Ivory Coast,Norway,0.20810136998800938,0.7918986300119906,Norway,0.7918986300119906,,,,0.0,1,-0.0,1,False,False
