team,round_of_32_prob,round_of_16_prob,quarterfinal_prob,semifinal_prob,final_prob,champion_prob
France,0.949,0.655,0.439,0.3,0.191,0.12
Spain,0.977,0.659,0.444,0.3,0.181,0.101
Argentina,0.951,0.575,0.41,0.265,0.176,0.096
Brazil,0.952,0.595,0.356,0.21,0.13,0.074
Portugal,0.936,0.567,0.337,0.205,0.115,0.07
Colombia,0.938,0.599,0.355,0.219,0.121,0.068
Germany,0.961,0.598,0.299,0.157,0.088,0.047
Netherlands,0.874,0.49,0.283,0.154,0.082,0.044
England,0.939,0.588,0.337,0.191,0.097,0.04
Croatia,0.907,0.486,0.261,0.144,0.069,0.038
Ecuador,0.945,0.554,0.272,0.152,0.067,0.03
Belgium,0.92,0.563,0.268,0.124,0.058,0.029
Japan,0.807,0.405,0.231,0.104,0.05,0.026
Uruguay,0.903,0.439,0.237,0.12,0.057,0.024
Switzerland,0.926,0.577,0.287,0.113,0.056,0.022
Turkey,0.78,0.455,0.226,0.098,0.039,0.021
Paraguay,0.759,0.427,0.23,0.108,0.051,0.021
Mexico,0.889,0.507,0.218,0.101,0.038,0.019
Norway,0.787,0.435,0.223,0.111,0.041,0.017
Canada,0.873,0.485,0.216,0.081,0.04,0.015
Morocco,0.829,0.362,0.18,0.08,0.036,0.013
Austria,0.712,0.266,0.116,0.05,0.022,0.009
United States,0.659,0.345,0.161,0.055,0.026,0.009
Scotland,0.799,0.337,0.147,0.054,0.022,0.008
Australia,0.496,0.196,0.068,0.032,0.011,0.006
South Korea,0.776,0.372,0.138,0.043,0.011,0.005
Bosnia and Herzegovina,0.522,0.17,0.054,0.02,0.007,0.005
Senegal,0.649,0.295,0.14,0.06,0.02,0.004
Jordan,0.439,0.156,0.059,0.024,0.006,0.003
Czech Republic,0.719,0.314,0.117,0.038,0.014,0.003
Algeria,0.51,0.171,0.061,0.018,0.005,0.002
South Africa,0.321,0.105,0.034,0.013,0.006,0.002
Panama,0.644,0.244,0.099,0.043,0.01,0.002
Uzbekistan,0.41,0.13,0.045,0.016,0.003,0.001
Saudi Arabia,0.428,0.133,0.043,0.017,0.006,0.001
Egypt,0.67,0.246,0.069,0.016,0.002,0.001
Qatar,0.342,0.105,0.031,0.01,0.002,0.001
Ghana,0.218,0.064,0.019,0.007,0.003,0.001
Iran,0.787,0.319,0.119,0.035,0.013,0.001
Ivory Coast,0.668,0.239,0.094,0.021,0.005,0.001
DR Congo,0.315,0.082,0.023,0.007,0.002,0.0
Curaçao,0.112,0.036,0.013,0.007,0.001,0.0
Cape Verde,0.271,0.071,0.019,0.004,0.0,0.0
Haiti,0.165,0.047,0.017,0.004,0.0,0.0
New Zealand,0.296,0.094,0.03,0.01,0.004,0.0
Iraq,0.276,0.075,0.027,0.011,0.004,0.0
Tunisia,0.403,0.132,0.05,0.012,0.002,0.0
Sweden,0.591,0.235,0.098,0.036,0.01,0.0
