alpha,draw_multiplier,validation_log_loss,validation_accuracy,selected,draw_decision_threshold,draw_decision_max_win_gap,decision_validation_accuracy,predicted_draws
0.1,0.85,0.9705403342247922,0.5831641159370725,True,,,,
0.1,0.95,0.9726196574223,0.5831641159370725,False,,,,
0.1,1.0,0.9743351934505263,0.5831641159370725,False,,,,
0.1,1.1,0.9788464164733519,0.5792578659370725,False,,,,
0.1,1.2,0.9854211786835729,0.5556493673050615,False,,,,
0.1,1.35,0.9946240865997389,0.5123386200410397,False,,,,
0.1,1.55,1.0143266404308522,0.480890902872777,False,,,,
0.3,0.85,0.9710046754374101,0.5860443741450069,False,,,,
0.3,0.95,0.97299082778586,0.5860443741450069,False,,,,
0.3,1.0,0.9746674351326924,0.5860443741450069,False,,,,
0.3,1.1,0.9791131968496419,0.5860443741450069,False,,,,
0.3,1.2,0.9847375898679324,0.5739836268809849,False,,,,
0.3,1.35,0.996578628508107,0.5121676214090287,False,,,,
0.3,1.55,1.013096320219642,0.48853240424076605,False,,,,
1.0,0.85,0.9744788668820854,0.5877543604651163,False,,,,
1.0,0.95,0.9765801200287574,0.5877543604651163,False,,,,
1.0,1.0,0.9783147032472915,0.5877543604651163,False,,,,
1.0,1.1,0.9828768216699342,0.5877543604651163,False,,,,
1.0,1.2,0.9886176471724724,0.5877543604651163,False,,,,
1.0,1.35,1.0027161776486044,0.5369731104651163,False,,,,
1.0,1.55,1.018387223520416,0.46900115424076605,False,,,,
3.0,0.85,0.9917806461613354,0.5860443741450069,False,,,,
3.0,0.95,0.9940470907832428,0.5860443741450069,False,,,,
3.0,1.0,0.9958633734866066,0.5860443741450069,False,,,,
3.0,1.1,1.000586838672498,0.5860443741450069,False,,,,
3.0,1.2,1.0064860386732737,0.5860443741450069,False,,,,
3.0,1.35,1.0185994714569175,0.5508881241450069,False,,,,
3.0,1.55,1.038263914973302,0.44351167065663477,False,,,,
10.0,0.85,1.0233861814449803,0.5896086268809849,False,,,,
10.0,0.95,1.0256705233956198,0.5896086268809849,False,,,,
10.0,1.0,1.0274967929653644,0.5896086268809849,False,,,,
10.0,1.1,1.032241916969996,0.5896086268809849,False,,,,
10.0,1.2,1.0381646077490063,0.5896086268809849,False,,,,
10.0,1.35,1.0501769264563838,0.5581876282489739,False,,,,
10.0,1.55,1.0665097463658966,0.38383849179206564,False,,,,
0.1,0.85,,,False,1.0,0.0,0.5695284159613059,0.0
0.1,0.85,,,False,0.24,0.01,0.5695284159613059,20.0
0.1,0.85,,,False,0.24,0.02,0.5683192261185006,36.0
0.1,0.85,,,False,0.24,0.03,0.5671100362756953,54.0
0.1,0.85,,,False,0.24,0.04,0.5652962515114873,72.0
0.1,0.85,,,False,0.24,0.05,0.5634824667472793,86.0
0.1,0.85,,,False,0.25,0.01,0.5689238210399032,15.0
0.1,0.85,,,False,0.25,0.02,0.5689238210399032,21.0
0.1,0.85,,,False,0.25,0.03,0.567714631197098,32.0
0.1,0.85,,,False,0.25,0.04,0.56590084643289,45.0
0.1,0.85,,,False,0.25,0.05,0.5665054413542926,53.0
0.1,0.85,,,False,0.26,0.01,0.5683192261185006,6.0
0.1,0.85,,,True,0.26,0.02,0.567714631197098,8.0
0.1,0.85,,,False,0.26,0.03,0.5671100362756953,11.0
0.1,0.85,,,False,0.26,0.04,0.5665054413542926,14.0
0.1,0.85,,,False,0.26,0.05,0.5665054413542926,18.0
0.1,0.85,,,False,0.27,0.01,0.5689238210399032,3.0
0.1,0.85,,,False,0.27,0.02,0.5683192261185006,4.0
0.1,0.85,,,False,0.27,0.03,0.567714631197098,5.0
0.1,0.85,,,False,0.27,0.04,0.567714631197098,5.0
0.1,0.85,,,False,0.27,0.05,0.567714631197098,5.0
0.1,0.85,,,False,0.28,0.01,0.5695284159613059,2.0
0.1,0.85,,,False,0.28,0.02,0.5689238210399032,3.0
0.1,0.85,,,False,0.28,0.03,0.5683192261185006,4.0
0.1,0.85,,,False,0.28,0.04,0.5683192261185006,4.0
0.1,0.85,,,False,0.28,0.05,0.5683192261185006,4.0
