group,rank,team,champion_prob,final_prob,semifinal_prob,quarterfinal_prob,round_of_16_prob,round_of_32_prob
A,1,Mexico,0.002,0.018,0.05,0.196,0.633,0.986
A,2,South Korea,0.0,0.0,0.011,0.086,0.367,0.907
A,3,Czech Republic,0.0,0.0,0.006,0.027,0.185,0.769
A,4,South Africa,0.0,0.0,0.0,0.001,0.007,0.095
B,1,Switzerland,0.003,0.014,0.065,0.249,0.739,0.999
B,2,Canada,0.0,0.005,0.033,0.16,0.616,0.981
B,3,Qatar,0.0,0.0,0.001,0.001,0.01,0.094
B,4,Bosnia and Herzegovina,0.0,0.0,0.0,0.003,0.038,0.467
C,1,Brazil,0.065,0.145,0.334,0.524,0.728,1.0
C,2,Morocco,0.0,0.007,0.029,0.145,0.309,0.959
C,3,Scotland,0.0,0.001,0.007,0.04,0.182,0.848
C,4,Haiti,0.0,0.0,0.0,0.0,0.0,0.007
D,1,Turkey,0.003,0.01,0.041,0.228,0.6,0.908
D,2,Paraguay,0.001,0.004,0.021,0.099,0.386,0.76
D,3,United States,0.0,0.003,0.022,0.103,0.337,0.725
D,4,Australia,0.0,0.0,0.001,0.023,0.117,0.406
E,1,Germany,0.012,0.049,0.145,0.258,0.798,0.998
E,2,Ecuador,0.005,0.011,0.078,0.21,0.619,0.988
E,3,Ivory Coast,0.0,0.0,0.003,0.014,0.137,0.803
E,4,Curaçao,0.0,0.0,0.0,0.0,0.0,0.004
F,1,Netherlands,0.015,0.047,0.167,0.447,0.6,0.984
F,2,Japan,0.004,0.031,0.093,0.282,0.477,0.968
F,3,Sweden,0.001,0.001,0.004,0.032,0.129,0.505
F,4,Tunisia,0.0,0.0,0.0,0.001,0.021,0.152
G,1,Belgium,0.005,0.025,0.076,0.42,0.723,0.996
G,2,Iran,0.0,0.002,0.009,0.051,0.356,0.955
G,3,Egypt,0.0,0.0,0.001,0.014,0.139,0.765
G,4,New Zealand,0.0,0.0,0.0,0.0,0.002,0.036
H,1,Spain,0.31,0.434,0.625,0.706,0.881,1.0
H,2,Uruguay,0.006,0.025,0.064,0.148,0.265,0.98
H,3,Cape Verde,0.0,0.0,0.0,0.002,0.01,0.109
H,4,Saudi Arabia,0.0,0.0,0.0,0.001,0.031,0.377
I,1,France,0.215,0.357,0.619,0.75,0.903,0.997
I,2,Norway,0.001,0.01,0.047,0.171,0.433,0.899
I,3,Senegal,0.001,0.004,0.022,0.11,0.312,0.798
I,4,Iraq,0.0,0.0,0.0,0.001,0.005,0.056
J,1,Argentina,0.212,0.395,0.536,0.719,0.8,1.0
J,2,Algeria,0.001,0.001,0.002,0.017,0.076,0.516
J,3,Austria,0.0,0.0,0.007,0.037,0.123,0.848
J,4,Jordan,0.0,0.0,0.0,0.003,0.024,0.229
K,1,Portugal,0.052,0.137,0.246,0.5,0.771,0.996
K,2,Colombia,0.033,0.093,0.19,0.392,0.706,0.993
K,3,Uzbekistan,0.0,0.0,0.0,0.009,0.033,0.377
K,4,DR Congo,0.0,0.0,0.0,0.0,0.007,0.128
L,1,England,0.046,0.133,0.322,0.541,0.763,0.998
L,2,Croatia,0.007,0.038,0.122,0.265,0.544,0.994
L,3,Panama,0.0,0.0,0.001,0.014,0.055,0.608
L,4,Ghana,0.0,0.0,0.0,0.0,0.003,0.032
