draw_decision_threshold,draw_decision_max_win_prob_gap,validation_decision_accuracy,predicted_draws,draw_recall,draw_precision,selected
1.0,0.0,0.619105199516324,16,0.020671834625323,0.5,True
0.2,0.02,0.6178960096735188,47,0.04392764857881137,0.3617021276595745,False
0.2,0.04,0.6154776299879081,86,0.07751937984496124,0.3488372093023256,False
0.2,0.06,0.6148730350665055,121,0.1111111111111111,0.35537190082644626,False
0.2,0.08,0.6154776299879081,158,0.14728682170542637,0.36075949367088606,False
0.2,0.1,0.6106408706166868,190,0.16279069767441862,0.33157894736842103,False
0.2,0.12,0.6033857315598549,231,0.18863049095607234,0.31601731601731603,False
0.22,0.02,0.6172914147521161,46,0.041343669250646,0.34782608695652173,False
0.22,0.04,0.6148730350665055,85,0.07493540051679587,0.3411764705882353,False
0.22,0.06,0.6142684401451027,120,0.10852713178294573,0.35,False
0.22,0.08,0.6148730350665055,155,0.1421188630490956,0.3548387096774194,False
0.22,0.1,0.6100362756952842,186,0.15762273901808785,0.3279569892473118,False
0.22,0.12,0.6027811366384522,227,0.1834625322997416,0.31277533039647576,False
0.24,0.02,0.6166868198307134,44,0.03875968992248062,0.3409090909090909,False
0.24,0.04,0.6148730350665055,82,0.07235142118863049,0.34146341463414637,False
0.24,0.06,0.6148730350665055,116,0.10594315245478036,0.35344827586206895,False
0.24,0.08,0.6148730350665055,147,0.1343669250645995,0.35374149659863946,False
0.24,0.1,0.6100362756952842,177,0.14987080103359174,0.327683615819209,False
0.24,0.12,0.6021765417170496,212,0.16795865633074936,0.30660377358490565,False
0.26,0.02,0.6172914147521161,36,0.03359173126614987,0.3611111111111111,False
0.26,0.04,0.6136638452237001,67,0.05426356589147287,0.31343283582089554,False
0.26,0.06,0.6136638452237001,94,0.08010335917312661,0.32978723404255317,False
0.26,0.08,0.6148730350665055,120,0.10594315245478036,0.3416666666666667,False
0.26,0.1,0.6130592503022975,144,0.12144702842377261,0.3263888888888889,False
0.26,0.12,0.6064087061668681,175,0.13695090439276486,0.3028571428571429,False
0.28,0.02,0.6185006045949214,27,0.028423772609819122,0.4074074074074074,False
0.28,0.04,0.6148730350665055,39,0.031007751937984496,0.3076923076923077,False
0.28,0.06,0.6154776299879081,51,0.04392764857881137,0.3333333333333333,False
0.28,0.08,0.6172914147521161,68,0.06459948320413436,0.36764705882352944,False
0.28,0.1,0.6160822249093107,85,0.07751937984496124,0.35294117647058826,False
0.28,0.12,0.6124546553808948,107,0.09302325581395349,0.3364485981308411,False
0.3,0.02,0.6185006045949214,21,0.023255813953488372,0.42857142857142855,False
0.3,0.04,0.6148730350665055,29,0.023255813953488372,0.3103448275862069,False
0.3,0.06,0.6154776299879081,37,0.03359173126614987,0.35135135135135137,False
0.3,0.08,0.6166868198307134,44,0.04392764857881137,0.38636363636363635,False
0.3,0.1,0.6160822249093107,51,0.04909560723514212,0.37254901960784315,False
0.3,0.12,0.6136638452237001,64,0.059431524547803614,0.359375,False
0.32,0.02,0.619105199516324,18,0.023255813953488372,0.5,False
0.32,0.04,0.6178960096735188,20,0.023255813953488372,0.45,False
0.32,0.06,0.6178960096735188,24,0.028423772609819122,0.4583333333333333,False
0.32,0.08,0.6197097944377267,27,0.03617571059431524,0.5185185185185185,False
0.32,0.1,0.6185006045949214,32,0.03875968992248062,0.46875,False
0.32,0.12,0.6185006045949214,36,0.04392764857881137,0.4722222222222222,False
