feature_profile,max_iter,learning_rate,max_leaf_nodes,l2_regularization,class_weight,draw_probability_multiplier,calibration_temperature,validation_accuracy,pooled_validation_accuracy,validation_log_loss,selected
baseline_no_market,80,0.04,7,1.0,none,0.85,0.85,0.5971860037619698,0.619105199516324,0.9237274812238139,False
baseline_no_market,80,0.04,7,1.0,none,0.85,1.0,0.5971860037619698,0.619105199516324,0.9184343882562575,False
baseline_no_market,80,0.04,7,1.0,none,0.85,1.15,0.5971860037619698,0.619105199516324,0.9201142243723726,False
baseline_no_market,80,0.04,7,1.0,none,0.85,1.3,0.5971860037619698,0.619105199516324,0.9250745568432648,False
baseline_no_market,80,0.04,7,1.0,none,0.85,1.5,0.5971860037619698,0.619105199516324,0.9337805755163436,False
baseline_no_market,80,0.04,7,1.0,none,0.95,0.85,0.5934507523939808,0.619105199516324,0.9212487629601438,False
baseline_no_market,80,0.04,7,1.0,none,0.95,1.0,0.5934507523939808,0.619105199516324,0.9182112023927927,False
baseline_no_market,80,0.04,7,1.0,none,0.95,1.15,0.5934507523939808,0.619105199516324,0.9212179431748209,False
baseline_no_market,80,0.04,7,1.0,none,0.95,1.3,0.5934507523939808,0.619105199516324,0.92697679333693,False
baseline_no_market,80,0.04,7,1.0,none,0.95,1.5,0.5934507523939808,0.619105199516324,0.9362796823814281,False
baseline_no_market,80,0.04,7,1.0,none,1.0,0.85,0.5895445023939808,0.6185006045949214,0.9210192788810114,False
baseline_no_market,80,0.04,7,1.0,none,1.0,1.0,0.5895445023939808,0.6185006045949214,0.9188108548488261,False
baseline_no_market,80,0.04,7,1.0,none,1.0,1.15,0.5895445023939808,0.6185006045949214,0.9222828018662046,False
baseline_no_market,80,0.04,7,1.0,none,1.0,1.3,0.5895445023939808,0.6185006045949214,0.9283040832135534,False
baseline_no_market,80,0.04,7,1.0,none,1.0,1.5,0.5895445023939808,0.6185006045949214,0.9377818134700193,False
baseline_no_market,80,0.04,7,1.0,none,1.05,0.85,0.5776547537619698,0.6160822249093107,0.9213589184080928,False
baseline_no_market,80,0.04,7,1.0,none,1.05,1.0,0.5776547537619698,0.6160822249093107,0.9198070865918223,False
baseline_no_market,80,0.04,7,1.0,none,1.05,1.15,0.5776547537619698,0.6160822249093107,0.9236308173638195,False
baseline_no_market,80,0.04,7,1.0,none,1.05,1.3,0.5776547537619698,0.6160822249093107,0.9298368507998818,False
baseline_no_market,80,0.04,7,1.0,none,1.05,1.5,0.5776547537619698,0.6160822249093107,0.9394197672689711,False
baseline_no_market,80,0.04,7,1.0,none,1.1,0.85,0.5779967510259918,0.6172914147521161,0.922203456659201,False
