draw_decision_threshold,draw_decision_max_win_prob_gap,validation_decision_accuracy,predicted_draws,draw_recall,draw_precision,selected
1.0,0.0,0.6162790697674418,48,0.03768115942028986,0.2708333333333333,True
0.2,0.02,0.6162790697674418,73,0.06376811594202898,0.3013698630136986,False
0.2,0.04,0.6162790697674418,99,0.08985507246376812,0.31313131313131315,False
0.2,0.06,0.615595075239398,124,0.11594202898550725,0.3225806451612903,False
0.2,0.08,0.6135430916552668,155,0.14492753623188406,0.3225806451612903,False
0.2,0.1,0.606703146374829,193,0.17101449275362318,0.30569948186528495,False
0.2,0.12,0.6032831737346102,225,0.19710144927536233,0.3022222222222222,False
0.22,0.02,0.6162790697674418,73,0.06376811594202898,0.3013698630136986,False
0.22,0.04,0.6162790697674418,99,0.08985507246376812,0.31313131313131315,False
0.22,0.06,0.615595075239398,124,0.11594202898550725,0.3225806451612903,False
0.22,0.08,0.6142270861833106,154,0.14492753623188406,0.3246753246753247,False
0.22,0.1,0.606703146374829,191,0.1681159420289855,0.3036649214659686,False
0.22,0.12,0.603967168262654,222,0.19420289855072465,0.30180180180180183,False
0.24,0.02,0.6162790697674418,72,0.06376811594202898,0.3055555555555556,False
0.24,0.04,0.6149110807113544,96,0.08405797101449275,0.3020833333333333,False
0.24,0.06,0.6135430916552668,119,0.1072463768115942,0.31092436974789917,False
0.24,0.08,0.6114911080711354,147,0.13333333333333333,0.3129251700680272,False
0.24,0.1,0.6046511627906976,181,0.1536231884057971,0.292817679558011,False
0.24,0.12,0.6019151846785226,212,0.17971014492753623,0.29245283018867924,False
0.26,0.02,0.6162790697674418,72,0.06376811594202898,0.3055555555555556,False
0.26,0.04,0.6149110807113544,92,0.08115942028985507,0.30434782608695654,False
0.26,0.06,0.612859097127223,114,0.10144927536231885,0.30701754385964913,False
0.26,0.08,0.6108071135430917,140,0.1246376811594203,0.30714285714285716,False
0.26,0.1,0.6053351573187414,169,0.14202898550724638,0.28994082840236685,False
0.26,0.12,0.6032831737346102,199,0.1681159420289855,0.2914572864321608,False
0.28,0.02,0.6162790697674418,65,0.057971014492753624,0.3076923076923077,False
0.28,0.04,0.6149110807113544,81,0.06956521739130435,0.2962962962962963,False
0.28,0.06,0.6149110807113544,97,0.08695652173913043,0.30927835051546393,False
0.28,0.08,0.612859097127223,120,0.1072463768115942,0.30833333333333335,False
0.28,0.1,0.6087551299589603,147,0.1246376811594203,0.2925170068027211,False
0.28,0.12,0.6053351573187414,170,0.14202898550724638,0.28823529411764703,False
0.3,0.02,0.6169630642954856,60,0.05507246376811594,0.31666666666666665,False
0.3,0.04,0.6162790697674418,71,0.06666666666666667,0.323943661971831,False
0.3,0.06,0.615595075239398,81,0.07536231884057971,0.32098765432098764,False
0.3,0.08,0.6162790697674418,100,0.09565217391304348,0.33,False
0.3,0.1,0.612859097127223,122,0.11014492753623188,0.3114754098360656,False
0.3,0.12,0.6108071135430917,141,0.1246376811594203,0.3049645390070922,False
0.32,0.02,0.6162790697674418,51,0.04057971014492753,0.27450980392156865,False
0.32,0.04,0.6149110807113544,57,0.043478260869565216,0.2631578947368421,False
0.32,0.06,0.612859097127223,64,0.0463768115942029,0.25,False
0.32,0.08,0.612859097127223,77,0.06376811594202898,0.2857142857142857,False
0.32,0.1,0.6108071135430917,93,0.07536231884057971,0.27956989247311825,False
0.32,0.12,0.6114911080711354,106,0.08985507246376812,0.29245283018867924,False
