team,round_of_32_prob,round_of_16_prob,quarterfinal_prob,semifinal_prob,final_prob,champion_prob
Spain,1.0,0.897,0.717,0.641,0.448,0.311
France,0.997,0.896,0.754,0.616,0.359,0.223
Argentina,1.0,0.769,0.685,0.501,0.365,0.184
Portugal,0.995,0.786,0.516,0.27,0.149,0.064
Brazil,0.998,0.711,0.507,0.332,0.139,0.052
England,0.997,0.764,0.544,0.306,0.135,0.05
Colombia,0.984,0.68,0.388,0.196,0.094,0.029
Croatia,0.984,0.545,0.281,0.116,0.043,0.017
Germany,0.998,0.79,0.276,0.154,0.048,0.016
Japan,0.973,0.469,0.285,0.103,0.027,0.01
Netherlands,0.986,0.608,0.458,0.161,0.048,0.009
Belgium,0.995,0.758,0.439,0.105,0.027,0.008
Uruguay,0.983,0.278,0.169,0.063,0.028,0.007
Switzerland,0.993,0.764,0.268,0.073,0.021,0.005
Ecuador,0.985,0.607,0.182,0.085,0.014,0.004
Canada,0.991,0.582,0.139,0.024,0.006,0.003
Norway,0.89,0.449,0.178,0.042,0.007,0.003
Turkey,0.927,0.605,0.246,0.034,0.013,0.002
Mexico,0.985,0.653,0.185,0.042,0.007,0.001
Senegal,0.78,0.307,0.094,0.026,0.005,0.001
Morocco,0.958,0.298,0.135,0.029,0.007,0.001
Egypt,0.78,0.149,0.018,0.001,0.001,0.0
Algeria,0.523,0.072,0.017,0.001,0.0,0.0
Bosnia and Herzegovina,0.496,0.048,0.005,0.0,0.0,0.0
Austria,0.825,0.116,0.037,0.003,0.001,0.0
DR Congo,0.133,0.005,0.002,0.0,0.0,0.0
Czech Republic,0.751,0.168,0.01,0.0,0.0,0.0
Curaçao,0.006,0.0,0.0,0.0,0.0,0.0
Cape Verde,0.108,0.009,0.001,0.0,0.0,0.0
Australia,0.383,0.105,0.016,0.0,0.0,0.0
Ivory Coast,0.796,0.164,0.02,0.001,0.0,0.0
Iraq,0.054,0.003,0.0,0.0,0.0,0.0
Panama,0.59,0.055,0.011,0.0,0.0,0.0
New Zealand,0.044,0.007,0.0,0.0,0.0,0.0
Jordan,0.248,0.029,0.002,0.0,0.0,0.0
Ghana,0.043,0.003,0.0,0.0,0.0,0.0
Haiti,0.012,0.001,0.0,0.0,0.0,0.0
Iran,0.946,0.389,0.069,0.009,0.001,0.0
Qatar,0.11,0.007,0.0,0.0,0.0,0.0
Paraguay,0.767,0.392,0.103,0.02,0.004,0.0
South Korea,0.915,0.362,0.084,0.022,0.001,0.0
South Africa,0.106,0.012,0.0,0.0,0.0,0.0
Scotland,0.848,0.184,0.048,0.014,0.001,0.0
Saudi Arabia,0.385,0.023,0.003,0.0,0.0,0.0
Tunisia,0.172,0.028,0.007,0.0,0.0,0.0
Sweden,0.474,0.118,0.021,0.002,0.0,0.0
United States,0.704,0.319,0.079,0.008,0.001,0.0
Uzbekistan,0.382,0.016,0.001,0.0,0.0,0.0
