draw_inflation,goal_profile_weight,decision_threshold,decision_max_win_prob_gap,matches,log_loss,brier_score,accuracy,top_probability_accuracy,top_probability_predicted_draws,predicted_draws,actual_draws,decision_accuracy,draw_recall,draw_precision,non_draw_accuracy
1.5,0.0,0.28,0.12,7952.0,0.9265119779062042,0.5348296710296585,0.5924295774647887,0.5924295774647887,762.0,800.0,1837.0,0.5919265593561368,0.13282525857376157,0.305,0.7298446443172527
1.5,0.0,0.28,0.15,7952.0,0.9265119779062042,0.5348296710296585,0.5924295774647887,0.5924295774647887,762.0,962.0,1837.0,0.5880281690140845,0.15514425694066414,0.29625779625779625,0.7180703188879803
1.5,0.0,0.3,0.12,7952.0,0.9265119779062042,0.5348296710296585,0.5924295774647887,0.5924295774647887,762.0,800.0,1837.0,0.5919265593561368,0.13282525857376157,0.305,0.7298446443172527
1.5,0.0,0.3,0.15,7952.0,0.9265119779062042,0.5348296710296585,0.5924295774647887,0.5924295774647887,762.0,962.0,1837.0,0.5880281690140845,0.15514425694066414,0.29625779625779625,0.7180703188879803
1.35,0.0,0.28,0.12,7952.0,0.9269921846171719,0.536459699688601,0.5964537223340041,0.5964537223340041,346.0,771.0,1837.0,0.5923038229376257,0.12901469787697334,0.30739299610894943,0.7314799672935405
1.35,0.0,0.28,0.15,7952.0,0.9269921846171719,0.536459699688601,0.5964537223340041,0.5964537223340041,346.0,927.0,1837.0,0.5885311871227364,0.1497005988023952,0.296655879180151,0.7203597710547833
1.35,0.0,0.3,0.12,7952.0,0.9269921846171719,0.536459699688601,0.5964537223340041,0.5964537223340041,346.0,771.0,1837.0,0.5923038229376257,0.12901469787697334,0.30739299610894943,0.7314799672935405
1.35,0.0,0.3,0.15,7952.0,0.9269921846171719,0.536459699688601,0.5964537223340041,0.5964537223340041,346.0,927.0,1837.0,0.5885311871227364,0.1497005988023952,0.296655879180151,0.7203597710547833
1.65,0.0,0.28,0.12,7952.0,0.9277088505598023,0.5342848145710917,0.585261569416499,0.585261569416499,1102.0,1102.0,1837.0,0.585261569416499,0.17855198693522048,0.29764065335753176,0.7074407195421095
1.65,0.0,0.28,0.15,7952.0,0.9277088505598023,0.5342848145710917,0.585261569416499,0.585261569416499,1102.0,1102.0,1837.0,0.585261569416499,0.17855198693522048,0.29764065335753176,0.7074407195421095
1.65,0.0,0.3,0.12,7952.0,0.9277088505598023,0.5342848145710917,0.585261569416499,0.585261569416499,1102.0,1102.0,1837.0,0.585261569416499,0.17855198693522048,0.29764065335753176,0.7074407195421095
1.65,0.0,0.3,0.15,7952.0,0.9277088505598023,0.5342848145710917,0.585261569416499,0.585261569416499,1102.0,1102.0,1837.0,0.585261569416499,0.17855198693522048,0.29764065335753176,0.7074407195421095
1.5,0.2,0.28,0.12,7952.0,0.9281811386196107,0.5344125158651778,0.596830985915493,0.596830985915493,540.0,728.0,1837.0,0.59079476861167,0.1175830157866086,0.2967032967032967,0.7329517579721995
1.5,0.2,0.28,0.15,7952.0,0.9281811386196107,0.5344125158651778,0.596830985915493,0.596830985915493,540.0,884.0,1837.0,0.5905432595573441,0.14643440391943385,0.3042986425339366,0.7239574816026165
1.5,0.2,0.3,0.12,7952.0,0.9281811386196107,0.5344125158651778,0.596830985915493,0.596830985915493,540.0,728.0,1837.0,0.59079476861167,0.1175830157866086,0.2967032967032967,0.7329517579721995
1.5,0.2,0.3,0.15,7952.0,0.9281811386196107,0.5344125158651778,0.596830985915493,0.596830985915493,540.0,884.0,1837.0,0.5905432595573441,0.14643440391943385,0.3042986425339366,0.7239574816026165
1.65,0.2,0.28,0.12,7952.0,0.9283406224952029,0.5331160858593419,0.5895372233400402,0.5895372233400402,870.0,895.0,1837.0,0.5885311871227364,0.1448013064779532,0.29720670391061454,0.7218315617334423
1.65,0.2,0.28,0.15,7952.0,0.9283406224952029,0.5331160858593419,0.5895372233400402,0.5895372233400402,870.0,939.0,1837.0,0.5889084507042254,0.15187806205770277,0.2971246006389776,0.7201962387571545
1.65,0.2,0.3,0.12,7952.0,0.9283406224952029,0.5331160858593419,0.5895372233400402,0.5895372233400402,870.0,895.0,1837.0,0.5885311871227364,0.1448013064779532,0.29720670391061454,0.7218315617334423
1.65,0.2,0.3,0.15,7952.0,0.9283406224952029,0.5331160858593419,0.5895372233400402,0.5895372233400402,870.0,939.0,1837.0,0.5889084507042254,0.15187806205770277,0.2971246006389776,0.7201962387571545
1.2,0.0,0.28,0.12,7952.0,0.9296564175295471,0.5393687258613862,0.5994718309859155,0.5994718309859155,0.0,746.0,1837.0,0.5930583501006036,0.12629286880783885,0.3109919571045576,0.733278822567457
1.2,0.0,0.28,0.15,7952.0,0.9296564175295471,0.5393687258613862,0.5994718309859155,0.5994718309859155,0.0,895.0,1837.0,0.5890342052313883,0.14425694066412628,0.29608938547486036,0.7226492232215863
1.2,0.0,0.3,0.12,7952.0,0.9296564175295471,0.5393687258613862,0.5994718309859155,0.5994718309859155,0.0,746.0,1837.0,0.5930583501006036,0.12629286880783885,0.3109919571045576,0.733278822567457
1.2,0.0,0.3,0.15,7952.0,0.9296564175295471,0.5393687258613862,0.5994718309859155,0.5994718309859155,0.0,895.0,1837.0,0.5890342052313883,0.14425694066412628,0.29608938547486036,0.7226492232215863
1.35,0.2,0.28,0.12,7952.0,0.9297415240462743,0.536778207987296,0.6002263581488934,0.6002263581488934,202.0,698.0,1837.0,0.5919265593561368,0.11377245508982035,0.2994269340974212,0.73556827473426
1.35,0.2,0.28,0.15,7952.0,0.9297415240462743,0.536778207987296,0.6002263581488934,0.6002263581488934,202.0,859.0,1837.0,0.590920523138833,0.14262384322264562,0.3050058207217695,0.7255928045789043
1.35,0.2,0.3,0.12,7952.0,0.9297415240462743,0.536778207987296,0.6002263581488934,0.6002263581488934,202.0,696.0,1837.0,0.5920523138832998,0.11377245508982035,0.30028735632183906,0.7357318070318888
1.35,0.2,0.3,0.15,7952.0,0.9297415240462743,0.536778207987296,0.6002263581488934,0.6002263581488934,202.0,856.0,1837.0,0.590920523138833,0.14207947740881874,0.30490654205607476,0.7257563368765331
1.65,0.35,0.28,0.12,7952.0,0.9321932506184722,0.5339150994483964,0.5934356136820925,0.5934356136820925,730.0,803.0,1837.0,0.5904175050301811,0.1317365269461078,0.3013698630136986,0.7282093213409648
