xg_strength,total_goal_strength,dixon_coles_rho,statsbomb_window,goal_profile_weight,matches,log_loss,brier_score,accuracy,top_probability_accuracy,top_probability_predicted_draws,predicted_draws,actual_draws,decision_accuracy,draw_recall,draw_precision,non_draw_accuracy,selected
0.0,0.5,0.0,5,0.2,64.0,1.0241592600622218,0.6047690920673789,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,True
0.0,0.25,0.0,5,0.2,64.0,1.0252405791027694,0.605038117391229,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.0,0.5,0.0,3,0.2,64.0,1.0259829750860945,0.6060253343271224,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.0,0.25,0.0,3,0.2,64.0,1.026140228728538,0.6056696272051467,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.0,0.5,0.0,5,0.35,64.0,1.0263948320312317,0.6055335446643699,0.546875,0.546875,0.0,0.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.0,0.0,0.0,3,0.2,64.0,1.026517903560427,0.6054368699798705,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.0,0.0,0.0,5,0.2,64.0,1.026517903560427,0.6054368699798705,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.0,0.5,-0.04,5,0.2,64.0,1.0272333722091007,0.6052716154298431,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.0,0.25,0.0,5,0.35,64.0,1.0274162620623193,0.6057585773681932,0.546875,0.546875,0.0,0.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.0,0.5,0.0,3,0.35,64.0,1.0282441729273526,0.6067852752135807,0.546875,0.546875,0.0,0.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.0,0.25,0.0,3,0.35,64.0,1.028327279261315,0.6063881161837918,0.546875,0.546875,0.0,0.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
